,Date,Value (USD)
545,2006-02-02,1390.6089
546,2006-02-03,1384.4137
547,2006-02-06,1377.6778
548,2006-02-07,1379.1554
549,2006-02-08,1376.6178
550,2006-02-09,1379.6608
551,2006-02-10,1373.3631
552,2006-02-13,1374.4080
553,2006-02-14,1372.8198
554,2006-02-15,1373.2435
555,2006-02-16,1373.5507
556,2006-02-17,1376.1706
557,2006-02-20,1377.3071
558,2006-02-21,1376.1963
559,2006-02-22,1374.1445
560,2006-02-23,1376.8408
561,2006-02-24,1372.7382
562,2006-02-27,1370.0580
563,2006-02-28,1379.6173
564,2006-03-01,1378.2512
565,2006-03-02,1387.6644
566,2006-03-03,1388.6301
567,2006-03-06,1384.3467
568,2006-03-07,1372.3988
569,2006-03-08,1374.8485
570,2006-03-09,1371.3920
571,2006-03-10,1368.4418
572,2006-03-13,1374.0502
573,2006-03-14,1380.9806
574,2006-03-15,1385.4363
575,2006-03-16,1389.2984
576,2006-03-17,1387.9593
577,2006-03-20,1382.3485
578,2006-03-21,1379.1122
579,2006-03-22,1378.2927
580,2006-03-23,1370.0864
581,2006-03-24,1370.1641
582,2006-03-27,1361.9428
583,2006-03-28,1358.8395
584,2006-03-29,1357.9316
585,2006-03-30,1379.8359
586,2006-03-31,1377.3334
587,2006-04-03,1378.1239
588,2006-04-04,1378.9450
589,2006-04-05,1390.9102
590,2006-04-06,1388.4815
591,2006-04-07,1383.5070
592,2006-04-10,1380.8368
593,2006-04-11,1384.7218
594,2006-04-12,1394.8595
595,2006-04-13,1398.9243
596,2006-04-14,1397.8283
597,2006-04-17,1410.5073
598,2006-04-18,1421.4600
599,2006-04-19,1424.9013
600,2006-04-20,1415.5259
601,2006-04-21,1422.1642
602,2006-04-24,1424.0136
603,2006-04-25,1423.0299
604,2006-04-26,1426.0600
605,2006-04-27,1434.0493
606,2006-04-28,1445.7648
607,2006-05-01,1446.7624
608,2006-05-02,1451.2904
609,2006-05-03,1450.9533
610,2006-05-04,1457.2683
611,2006-05-05,1456.9831
612,2006-05-08,1449.3538
613,2006-05-09,1449.8862
614,2006-05-10,1445.7005
615,2006-05-11,1450.1280
616,2006-05-12,1447.8192
617,2006-05-15,1438.3556
618,2006-05-16,1445.7718
619,2006-05-17,1439.5537
620,2006-05-18,1440.6813
621,2006-05-19,1438.3554
622,2006-05-22,1438.3760
623,2006-05-23,1437.8271
624,2006-05-24,1448.9519
625,2006-05-25,1458.1033
626,2006-05-26,1453.7182
627,2006-05-29,1453.1391
628,2006-05-30,1459.3424
629,2006-05-31,1451.6694
630,2006-06-01,1443.1424
631,2006-06-02,1447.9784
632,2006-06-05,1448.2652
633,2006-06-06,1440.1427
634,2006-06-07,1442.4776
635,2006-06-08,1436.8593
636,2006-06-09,1446.3921
637,2006-06-12,1437.5168
638,2006-06-13,1430.9333
639,2006-06-14,1436.0996
640,2006-06-15,1438.8208
641,2006-06-16,1430.4129
642,2006-06-19,1427.6579
643,2006-06-20,1434.6764
644,2006-06-21,1433.9139
645,2006-06-22,1417.5495
646,2006-06-23,1416.0720
647,2006-06-26,1407.9122
648,2006-06-27,1401.4974
649,2006-06-28,1386.4645
650,2006-06-29,1408.0351
651,2006-06-30,1419.9629
652,2006-07-03,1412.7504
653,2006-07-04,1417.6385
654,2006-07-05,1407.2912
655,2006-07-06,1408.0664
656,2006-07-07,1422.7526
657,2006-07-10,1422.7307
658,2006-07-11,1436.1914
659,2006-07-12,1440.7769
660,2006-07-13,1440.0826
661,2006-07-14,1446.1270
662,2006-07-17,1445.5574
663,2006-07-18,1452.8142
664,2006-07-19,1456.6299
665,2006-07-20,1453.5902
666,2006-07-21,1460.5730
667,2006-07-24,1454.0772
668,2006-07-25,1461.6508
669,2006-07-26,1451.2706
670,2006-07-27,1447.3470
671,2006-07-28,1444.5337
672,2006-07-31,1446.2286
673,2006-08-01,1449.2733
674,2006-08-02,1453.4058
675,2006-08-03,1444.8177
676,2006-08-04,1459.2243
677,2006-08-07,1457.9008
678,2006-08-08,1453.9891
679,2006-08-09,1475.8814
680,2006-08-10,1476.7823
681,2006-08-11,1473.9407
682,2006-08-14,1469.6864
683,2006-08-15,1477.3905
684,2006-08-16,1485.4947
685,2006-08-17,1479.3428
686,2006-08-18,1478.8611
687,2006-08-21,1483.2602
688,2006-08-22,1480.6324
689,2006-08-23,1479.7938
690,2006-08-24,1477.1335
691,2006-08-25,1477.8218
692,2006-08-28,1480.8155
693,2006-08-29,1488.3821
694,2006-08-30,1492.1287
695,2006-08-31,1493.6047
696,2006-09-01,1495.9322
697,2006-09-04,1495.7743
698,2006-09-05,1490.5661
699,2006-09-06,1491.8118
700,2006-09-07,1482.6446
701,2006-09-08,1474.1836
702,2006-09-11,1474.5942
703,2006-09-12,1478.1526
704,2006-09-13,1483.4222
705,2006-09-14,1487.0751
706,2006-09-15,1483.7682
707,2006-09-18,1488.2952
708,2006-09-19,1483.5075
709,2006-09-20,1484.1540
710,2006-09-21,1493.3833
711,2006-09-22,1492.8302
712,2006-09-25,1494.6291
713,2006-09-26,1490.0622
714,2006-09-27,1488.8487
715,2006-09-28,1485.3810
716,2006-09-29,1481.0378
717,2006-10-02,1489.1479
718,2006-10-03,1484.8781
719,2006-10-04,1486.3083
720,2006-10-05,1484.8952
721,2006-10-06,1479.6175
722,2006-10-09,1479.1895
723,2006-10-10,1472.5515
724,2006-10-11,1471.4860
725,2006-10-12,1476.7606
726,2006-10-13,1472.5717
727,2006-10-16,1477.2268
728,2006-10-17,1479.4680
729,2006-10-18,1479.7644
730,2006-10-19,1488.8745
731,2006-10-20,1489.6385
732,2006-10-23,1483.5449
733,2006-10-24,1484.0922
734,2006-10-25,1486.8940
735,2006-10-26,1493.7680
736,2006-10-27,1498.7557
737,2006-10-30,1500.1480
738,2006-10-31,1507.1496
739,2006-11-01,1505.1794
740,2006-11-02,1505.9922
741,2006-11-03,1500.7963
742,2006-11-06,1500.5899
743,2006-11-07,1504.4492
744,2006-11-08,1502.2470
745,2006-11-09,1504.3179
746,2006-11-10,1505.3589
747,2006-11-13,1498.7743
748,2006-11-14,1499.1088
749,2006-11-15,1496.1389
750,2006-11-16,1497.0389
751,2006-11-17,1500.6239
752,2006-11-20,1500.9976
753,2006-11-21,1502.5318
754,2006-11-22,1509.9950
755,2006-11-23,1510.0657
756,2006-11-24,1519.7227
757,2006-11-27,1519.1116
758,2006-11-28,1528.8844
759,2006-11-29,1525.1335
760,2006-11-30,1531.4013
761,2006-12-01,1533.1917
762,2006-12-04,1534.4294
763,2006-12-05,1531.6796
764,2006-12-06,1528.2327
765,2006-12-07,1529.6099
766,2006-12-08,1528.7440
767,2006-12-11,1529.7547
768,2006-12-12,1531.2107
769,2006-12-13,1528.8915
770,2006-12-14,1524.9103
771,2006-12-15,1523.4945
772,2006-12-18,1522.9925
773,2006-12-19,1531.2771
774,2006-12-20,1531.9591
775,2006-12-21,1529.1805
776,2006-12-22,1528.1319
777,2006-12-25,3206.9385
778,2006-12-26,3199.9818
779,2006-12-27,3201.5473
780,2006-12-28,3209.7770
781,2006-12-29,3205.4851
782,2007-01-01,3208.2124
783,2007-01-02,3211.2076
784,2007-01-03,3192.5186
785,2007-01-04,3178.9254
786,2007-01-05,3189.0588
787,2007-01-08,3187.7756
788,2007-01-09,3182.8983
789,2007-01-10,3189.0123
790,2007-01-11,3177.7410
791,2007-01-12,3200.1969
792,2007-01-15,3203.8575
793,2007-01-16,3188.4619
794,2007-01-17,3199.0550
795,2007-01-18,3197.5452
796,2007-01-19,3198.3571
797,2007-01-22,3182.0690
798,2007-01-23,3182.6826
799,2007-01-24,3187.9624
800,2007-01-25,3176.6632
801,2007-01-26,3184.9148
